date,1INCHUSDT,AAVEUSDT,ALGOUSDT,APEUSDT,APTUSDT,ARUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,HNTUSDT,HOTUSDT,IMXUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,MANAUSDT,MATICUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,RENUSDT,ROSEUSDT,RSRUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,THETAUSDT,TRXUSDT,UNIUSDT,WAVESUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT
2020-03-28,,,,,,,15191.671031004013,,,,11701.396781224052,,,,,,,,,,,7638.978117840008,10706.955246968033,,,,,,,,,,,11025.593265978032,,,,,,,,,,,,,,,,11523.35521490804,,,10702.353239432025,12903.371765099982,10713.282763384022,,
2020-03-29,,,,,,,15199.936517368014,,,,11707.800952042053,,,,,,,,,,,7640.849616100008,10708.889538732032,,,,,,,,,,,11031.148876054034,,,,,,,,,,,,,,,,11525.76193726004,,,10706.206063494023,12911.562964219984,10717.762963984022,,
2020-03-30,,,,,,,15251.988742892014,,,,11720.218785720057,,,,,,,,,,,7640.841254500007,10711.28708294403,,,,,,,,,,,11039.569524456032,,,,,,,,,,,,,,,,11571.249410050043,,,10706.184566488022,12911.515452779984,10717.74151433802,,
2020-03-31,,,,,,,15254.654201968013,,,,11721.200586280056,,,,,,,,,,,7654.930738520007,10712.346922138031,,,,,,,,,,,11042.602246624032,,,,,,,,,,,,,,,,11574.679445638041,,,10706.018181820022,12959.323792979985,10734.312797222017,,
2020-04-01,,,,,,,15258.714246604011,,,,11724.190561162059,,,,,,,,,,,7658.213552140008,10714.537668506035,,,,,,,,,,,11045.80223120804,,,,,,,,,,,,,,,,11575.157484738042,,,10718.50272254402,12975.031861579984,10737.06986576002,,
2020-04-02,,,,,,,15313.165405798007,,,,11742.163717932059,,,,,,,,,,,7711.176393080006,10720.524170740033,,,,,,,,,,,11067.062073726034,,,,,,,,,,,,,,,,11618.27073460604,,,10734.893151968019,13073.768651039984,10752.128780618019,,
2020-04-03,,,,,,,15326.02589602801,,,,11746.851830018059,,,,,,,,,,,7719.942281780006,10722.210774626035,,,,,,,,,,,11071.986707098034,,,,,,,,,,,,,,,,11622.346719622039,,,10735.769891918018,13112.089311319984,10754.52695591402,,
2020-04-04,,,,,,,15336.22897131601,,,,11752.941892884059,,,,,,,,,,,7729.064178360007,10723.803349436032,,,,,,,,,,,11076.712710976037,,,,,,,,,,,,,,,,11627.607796008035,,,10737.048844058017,13128.412001499986,10757.56645679602,,
2020-04-05,,,,,,,15348.228775780008,,,,11754.34144241006,,,,,,,,,,,7732.8043336000055,10725.227140440025,,,,,,,,,,,11079.080035380039,,,,,,,,,,,,,,,,11667.503704012039,,,10737.478454148017,13128.412001499986,10758.747417598017,,
2020-04-06,,,,,,,15348.160655286007,,,,11757.799262214057,,,,,,,,,,,7732.7874105000055,10725.192030446025,,,,,,,,,,,11093.73352096804,,,,,,,,,,,,,,,,11740.42597676604,,,10737.456917832018,13128.315333019988,10758.725885490017,,
2020-04-07,,,,,,,15329.913851107345,,,,11791.672007662053,,,,,,,,,,,7790.9789854400005,10739.246639900024,,,,,,,,,,,11110.005932854034,,,,,,,,,,,,,,,,11752.07943065204,,,10788.374545142016,13098.586514251794,10793.914866252015,,
